iter	Passed	Remaining
0	0	64
1	1	61
2	1	60
3	2	66
4	3	72
5	4	73
6	5	73
7	6	73
8	7	72
9	8	72
10	8	71
11	9	70
12	10	69
13	11	68
14	11	67
15	12	66
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	23	48
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	30	36
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	60	2
96	60	1
97	61	1
98	62	0
99	62	0
